id,title,description,availability,condition,price,link,image_link,brand,inventory,quantity_to_sell_on_facebook
1778691005789fvba,Placa Sonido USB 7.1,Importado masivamente,in stock,new,7500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005789fvba,https://gigacomputers.com.ar/assets/products/prod_1778691005789fvba.jpg,GIGA Computers,99,99
17786910057890932,Placas Wifi Noga Duales,Importado masivamente,in stock,new,18000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786910057890932,https://gigacomputers.com.ar/assets/products/prod_17786910057890932.jpg,GIGA Computers,99,99
1778691005789x47e,Protector de Tension 10A,Importado masivamente,in stock,new,19000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005789x47e,https://gigacomputers.com.ar/assets/products/prod_1778691005789x47e.jpg,GIGA Computers,99,99
1778691005790xe6g,Protector de Tension 20A,Importado masivamente,in stock,new,23500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005790xe6g,https://gigacomputers.com.ar/assets/products/prod_1778691005790xe6g.jpg,GIGA Computers,99,99
1778691005790jg51,Switch HDMI con remoto,Importado masivamente,in stock,new,13500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005790jg51,https://gigacomputers.com.ar/assets/products/prod_1778691005790jg51.jpg,GIGA Computers,99,99
1778691005790q8za,Switch HDMI Sin remoto,Importado masivamente,in stock,new,9500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005790q8za,https://gigacomputers.com.ar/assets/products/prod_1778691005790q8za.jpg,GIGA Computers,99,99
1778691005790y30o,Tableta Genius EasyPen i405,Importado masivamente,in stock,new,75000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005790y30o,https://gigacomputers.com.ar/assets/products/prod_1778691005790y30o.jpg,GIGA Computers,99,99
1778691005791e0l1,Tester Digital,Importado masivamente,in stock,new,11000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005791e0l1,https://gigacomputers.com.ar/assets/products/prod_1778691005791e0l1.jpg,GIGA Computers,99,99
1778691005791phoq,Timbre V-Zorr,Importado masivamente,in stock,new,10000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005791phoq,https://gigacomputers.com.ar/assets/products/prod_1778691005791phoq.jpg,GIGA Computers,99,99
1778691005791cnj0,Tv Box 4K,Importado masivamente,in stock,new,39000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005791cnj0,https://gigacomputers.com.ar/assets/products/prod_1778691005791cnj0.jpg,GIGA Computers,99,99
1778691005791mjf2,Velador Luces Suono,Importado masivamente,in stock,new,13500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005791mjf2,https://gigacomputers.com.ar/assets/products/prod_1778691005791mjf2.jpg,GIGA Computers,99,99
177869108755857xo,Adaptador doble mini plug hembra a macho,Importado masivamente,in stock,new,3000.00 ARS,https://gigacomputers.com.ar/index.html?id=177869108755857xo,https://gigacomputers.com.ar/assets/products/prod_177869108755857xo.jpg,GIGA Computers,99,99
1778691087559no04,Adaptador Electricidad Triple,Importado masivamente,in stock,new,35000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087559no04,https://gigacomputers.com.ar/assets/products/prod_1778691087559no04.jpg,GIGA Computers,99,99
1778691087559otk8,Adaptador Hdmi a DVI,Importado masivamente,in stock,new,4500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087559otk8,https://gigacomputers.com.ar/assets/products/prod_1778691087559otk8.jpg,GIGA Computers,99,99
1778691087559oo6i,Adaptador HDMI Hembra,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087559oo6i,https://gigacomputers.com.ar/assets/products/prod_1778691087559oo6i.jpg,GIGA Computers,99,99
1778691087559j8gs,Adaptador HDMI VGA Sin Audio,Importado masivamente,in stock,new,7500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087559j8gs,https://gigacomputers.com.ar/assets/products/prod_1778691087559j8gs.jpg,GIGA Computers,99,99
1778691087560kw8k,Adaptador Iphone,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087560kw8k,https://gigacomputers.com.ar/assets/products/prod_1778691087560kw8k.jpg,GIGA Computers,99,99
1778691087560dydn,Adaptador Micro Hdmi a HDMI,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087560dydn,https://gigacomputers.com.ar/assets/products/prod_1778691087560dydn.jpg,GIGA Computers,99,99
1778691087560qnsw,Adaptador Mini Hdmi a HDMI,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087560qnsw,https://gigacomputers.com.ar/assets/products/prod_1778691087560qnsw.jpg,GIGA Computers,99,99
17786910875602071,Adaptador para Foco,Importado masivamente,in stock,new,2500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786910875602071,https://gigacomputers.com.ar/assets/products/prod_17786910875602071.jpg,GIGA Computers,99,99
1778691087561gr1j,Adaptador Pared 2 Patas,Importado masivamente,in stock,new,1000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087561gr1j,https://gigacomputers.com.ar/assets/products/prod_1778691087561gr1j.jpg,GIGA Computers,99,99
17786910875612mto,Adaptador Pared 3 Patas,Importado masivamente,in stock,new,1000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786910875612mto,https://gigacomputers.com.ar/assets/products/prod_17786910875612mto.jpg,GIGA Computers,99,99
1778691087561e776,Adaptador USB a RS232,Importado masivamente,in stock,new,13500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087561e776,https://gigacomputers.com.ar/assets/products/prod_1778691087561e776.jpg,GIGA Computers,99,99
17786910875616e1j,Adaptador VGA a DVI,Importado masivamente,in stock,new,14000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786910875616e1j,https://gigacomputers.com.ar/assets/products/prod_17786910875616e1j.jpg,GIGA Computers,99,99
1778691087562lz9f,Adaptador Viajero,Importado masivamente,in stock,new,6000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087562lz9f,https://gigacomputers.com.ar/assets/products/prod_1778691087562lz9f.jpg,GIGA Computers,99,99
1778691087562oypx,Auricular YDMini,Importado masivamente,in stock,new,18000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087562oypx,https://gigacomputers.com.ar/assets/products/prod_1778691087562oypx.jpg,GIGA Computers,99,99
1778691087562w3yx,Conversor HDMI 2 AV // 2 AV HDMI,Importado masivamente,in stock,new,13500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087562w3yx,https://gigacomputers.com.ar/assets/products/prod_1778691087562w3yx.jpg,GIGA Computers,99,99
1778691087563xlkj,Conversor Tipo C  a HDMI/VGA,Importado masivamente,in stock,new,25000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087563xlkj,https://gigacomputers.com.ar/assets/products/prod_1778691087563xlkj.jpg,GIGA Computers,99,99
1778691087563jh8q,Display Port a Hdmi,Importado masivamente,in stock,new,13000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087563jh8q,https://gigacomputers.com.ar/assets/products/prod_1778691087563jh8q.jpg,GIGA Computers,99,99
1778691087564km5k,Display port a VGA,Importado masivamente,in stock,new,13000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087564km5k,https://gigacomputers.com.ar/assets/products/prod_1778691087564km5k.jpg,GIGA Computers,99,99
1778691087564ui27,Foco Led boliche,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087564ui27,https://gigacomputers.com.ar/assets/products/prod_1778691087564ui27.jpg,GIGA Computers,99,99
1778691087564gw5i,Mini Display Port a Hdmi,Importado masivamente,in stock,new,9500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087564gw5i,https://gigacomputers.com.ar/assets/products/prod_1778691087564gw5i.jpg,GIGA Computers,99,99
1778691087565ewgs,Mini Display Port a VGA,Importado masivamente,in stock,new,9790.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087565ewgs,https://gigacomputers.com.ar/assets/products/prod_1778691087565ewgs.jpg,GIGA Computers,99,99
1778691087566g6ii,Popit Electronico,Importado masivamente,in stock,new,9500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691087566g6ii,https://gigacomputers.com.ar/assets/products/prod_1778691087566g6ii.jpg,GIGA Computers,99,99
17786910875664k98,Transmisor Bluetooth Intco,Importado masivamente,in stock,new,14500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786910875664k98,https://gigacomputers.com.ar/assets/products/prod_17786910875664k98.jpg,GIGA Computers,99,99
1778691172075l803,Auricular Bluetooth A6s,Importado masivamente,in stock,new,10000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172075l803,https://gigacomputers.com.ar/assets/products/prod_1778691172075l803.jpg,GIGA Computers,99,99
1778691172076r1lz,Auricular Bluetooth E6s,Importado masivamente,in stock,new,11000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172076r1lz,https://gigacomputers.com.ar/assets/products/prod_1778691172076r1lz.jpg,GIGA Computers,99,99
1778691172077lv8e,Auricular Bluetooth F9,Importado masivamente,in stock,new,10000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172077lv8e,https://gigacomputers.com.ar/assets/products/prod_1778691172077lv8e.jpg,GIGA Computers,99,99
1778691172077jvjm,Auricular Bluetooth JBL,Importado masivamente,in stock,new,30000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172077jvjm,https://gigacomputers.com.ar/assets/products/prod_1778691172077jvjm.jpg,GIGA Computers,99,99
1778691172077nojr,Auricular Bluetooth JBL TWS -3,Importado masivamente,in stock,new,35000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172077nojr,https://gigacomputers.com.ar/assets/products/prod_1778691172077nojr.jpg,GIGA Computers,99,99
177869117207894z9,Auricular Bluetooth Motorola XT220,Importado masivamente,in stock,new,75000.00 ARS,https://gigacomputers.com.ar/index.html?id=177869117207894z9,https://gigacomputers.com.ar/assets/products/prod_177869117207894z9.jpg,GIGA Computers,99,99
1778691172078ktxj,Auricular Bluetooth Orejas,Importado masivamente,in stock,new,15000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172078ktxj,https://gigacomputers.com.ar/assets/products/prod_1778691172078ktxj.jpg,GIGA Computers,99,99
1778691172078san9,Auricular Bluetooth P47,Importado masivamente,in stock,new,9500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172078san9,https://gigacomputers.com.ar/assets/products/prod_1778691172078san9.jpg,GIGA Computers,99,99
17786911720793cm1,Auricular Bluetooth Pro 6,Importado masivamente,in stock,new,13000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786911720793cm1,https://gigacomputers.com.ar/assets/products/prod_17786911720793cm1.jpg,GIGA Computers,99,99
17786911720792hnv,Auricular Bluetooth YD03,Importado masivamente,in stock,new,24000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786911720792hnv,https://gigacomputers.com.ar/assets/products/prod_17786911720792hnv.jpg,GIGA Computers,99,99
1778691172080fuvg,Auricular Genius G600V,Importado masivamente,in stock,new,59000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172080fuvg,https://gigacomputers.com.ar/assets/products/prod_1778691172080fuvg.jpg,GIGA Computers,99,99
17786911720800gd0,Auricular JBL Tune 110,Importado masivamente,in stock,new,22500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786911720800gd0,https://gigacomputers.com.ar/assets/products/prod_17786911720800gd0.jpg,GIGA Computers,99,99
17786911720811s4d,Auricular Motorola In Ear Blister Azul,Importado masivamente,in stock,new,13500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786911720811s4d,https://gigacomputers.com.ar/assets/products/prod_17786911720811s4d.jpg,GIGA Computers,99,99
1778691172081evqq,Auricular Motorola XT200,Importado masivamente,in stock,new,60500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172081evqq,https://gigacomputers.com.ar/assets/products/prod_1778691172081evqq.jpg,GIGA Computers,99,99
17786911720816sw0,Auricular Philips 1405,Importado masivamente,in stock,new,14500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786911720816sw0,https://gigacomputers.com.ar/assets/products/prod_17786911720816sw0.jpg,GIGA Computers,99,99
1778691172082ew1t,Auricular Samsung Buds,Importado masivamente,in stock,new,39000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172082ew1t,https://gigacomputers.com.ar/assets/products/prod_1778691172082ew1t.jpg,GIGA Computers,99,99
1778691172082tlbe,Auricular Samsung Manos Libres HS330,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172082tlbe,https://gigacomputers.com.ar/assets/products/prod_1778691172082tlbe.jpg,GIGA Computers,99,99
1778691172083n4vz,Auricular Samsung S10 AKG / Sport Pace,Importado masivamente,in stock,new,7000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172083n4vz,https://gigacomputers.com.ar/assets/products/prod_1778691172083n4vz.jpg,GIGA Computers,99,99
1778691172083jq8a,Auricular Samsung S8,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172083jq8a,https://gigacomputers.com.ar/assets/products/prod_1778691172083jq8a.jpg,GIGA Computers,99,99
177869117208489au,Auricular Samsung Tipo C,Importado masivamente,in stock,new,7500.00 ARS,https://gigacomputers.com.ar/index.html?id=177869117208489au,https://gigacomputers.com.ar/assets/products/prod_177869117208489au.jpg,GIGA Computers,99,99
17786911720841j11,Destornillador Kit Naranja,Importado masivamente,in stock,new,7500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786911720841j11,https://gigacomputers.com.ar/assets/products/prod_17786911720841j11.webp,GIGA Computers,99,99
1778691172084ygo0,Mouse Raptor 3600,Importado masivamente,in stock,new,14000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172084ygo0,https://gigacomputers.com.ar/assets/products/prod_1778691172084ygo0.jpg,GIGA Computers,99,99
1778691172085uq73,Mouse Raptor 8000,Importado masivamente,in stock,new,17000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691172085uq73,https://gigacomputers.com.ar/assets/products/prod_1778691172085uq73.jpg,GIGA Computers,99,99
1778691216913q6kv,Base Cooler B-9,Importado masivamente,in stock,new,25000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691216913q6kv,https://gigacomputers.com.ar/assets/products/prod_1778691216913q6kv.jpg,GIGA Computers,99,99
177869121691546me,Base Cooler Netmak,Importado masivamente,in stock,new,45000.00 ARS,https://gigacomputers.com.ar/index.html?id=177869121691546me,https://gigacomputers.com.ar/assets/products/prod_177869121691546me.webp,GIGA Computers,99,99
1778691216915osuv,Cable 3 in 1,Importado masivamente,in stock,new,28500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691216915osuv,https://gigacomputers.com.ar/assets/products/prod_1778691216915osuv.jpg,GIGA Computers,99,99
17786912169168tcj,Cable 3 RCA 1.5Mts,Importado masivamente,in stock,new,3000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786912169168tcj,https://gigacomputers.com.ar/assets/products/prod_17786912169168tcj.jpg,GIGA Computers,99,99
177869121691608a7,Cable Apple Tipo C a Tipo C,Importado masivamente,in stock,new,6000.00 ARS,https://gigacomputers.com.ar/index.html?id=177869121691608a7,https://gigacomputers.com.ar/assets/products/prod_177869121691608a7.jpg,GIGA Computers,99,99
1778691216916nbyl,Cable Audio Video Miniplug,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691216916nbyl,https://gigacomputers.com.ar/assets/products/prod_1778691216916nbyl.webp,GIGA Computers,99,99
1778691216917hp1z,Cable Auxiliar Colores Reforzados 1.8,Importado masivamente,in stock,new,3500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691216917hp1z,https://gigacomputers.com.ar/assets/products/prod_1778691216917hp1z.jpg,GIGA Computers,99,99
1778691216917u2v9,Cable Auxiliar con Microfono,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691216917u2v9,https://gigacomputers.com.ar/assets/products/prod_1778691216917u2v9.jpg,GIGA Computers,99,99
